stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
CRZO,1/24/2014,43.23,42.30,42.02,43.26,809279,1.731B,20.28
CHK,1/24/2014,26.67,26.88,26.379,27.04,10397182,17.423B,19.79
XEC,1/24/2014,102.33,98.52,98.33,102.33,717398,8.555B,19.45
CRCL,1/25/2014,N/A,0.012,N/A,N/A,75,614K,N/A
CWEI,1/24/2014,70.54,69.35,68.166,70.54,25762,843.6M,N/A
CIE,1/24/2014,17.43,17.17,17.0722,17.57,4403333,6.987B,N/A
CRK,1/24/2014,17.36,17.44,16.92,17.59,1400942,831.6M,N/A
CNSV,1/24/2014,0.3499,0.3499,0.3499,0.3499,315,5.2M,N/A
MCF,1/24/2014,45.17,44.39,44.24,45.2899,53553,674.5M,18.46
CPPXF,1/23/2014,N/A,0.0549,N/A,N/A,0,6.8M,N/A
CLR,1/24/2014,109.69,106.91,106.73,110.35,810128,19.680B,23.90
XTEX, ,1/24/2014,28.7399,28.42,28.07,28.20,235000,2.542B
CBNR,1/24/2014,0.23,0.23,0.23,0.23,100,17.8M,N/A
CBNR,1/24/2014,0.23,0.23,0.23,0.23,100,17.8M,N/A
DLOV,1/23/2014,N/A,0.11,N/A,N/A,0,7.7M,N/A
DBRM,1/24/2014,0.36,0.38,0.36,0.399,24974,21.0M,N/A
DEJ,1/24/2014,0.1597,0.148,0.1235,0.1597,1001451,22.0M,N/A
DKL,1/24/2014,33.76,33.53,32.72,35.01,82589,805.9M,18.55
DNR,1/24/2014,16.40,16.21,16.15,16.44,6048489,5.934B,14.20
DVN,1/24/2014,59.58,59.52,59.146,59.89,3823785,24.165B,N/A
FANG,1/24/2014,49.89,48.87,48.01,50.40,837810,2.300B,65.00
DBLE,1/24/2014,2.22,2.20,2.17,2.24,886371,25.0M,N/A
DUMA,1/24/2014,2.45,2.58,2.30,2.59,134505,161.9M,N/A
ECCE,1/24/2014,0.2023,0.2025,0.2022,0.2025,7900,8.1M,N/A
ESSE,1/24/2014,0.005,0.005,0.005,0.005,500,1.1M,N/A
ESTE,1/24/2014,17.95,17.95,17.95,17.95,950,31.1M,10.55
EFLO,1/23/2014,N/A,0.85,N/A,N/A,0,16.6M,N/A
EOX, Inc.,1/24/2014,7.99,7.78,7.73,7.90,687088,515.8M
EMPR,1/14/2014,N/A,0.05,N/A,N/A,0,382K,N/A
END,1/24/2014,6.81,6.65,6.57,6.88,437757,307.4M,N/A
NDRO,1/24/2014,13.30,13.08,13.07,13.31,207303,431.6M,9.01
EGN,1/24/2014,70.55,69.38,68.97,71.14,938081,5.043B,28.04
ENSV,1/24/2014,2.305,2.25,2.15,2.40,85371,77.8M,20.90
EPD,1/24/2014,65.10,64.73,64.38,65.20,1158453,59.624B,23.75
EOG, In,1/24/2014,169.04,168.05,165.1201,165.53,2826539,45.185B
EOPT,1/24/2014,9.25,9.25,9.25,9.25,100,425.2M,N/A
EOPT,1/24/2014,9.25,9.25,9.25,9.25,100,425.2M,N/A
EPL, In,1/24/2014,28.59,28.20,27.52,28.03,376662,1.095B
EQU,1/24/2014,5.35,5.28,5.27,5.35,303585,189.1M,9.82
ERHE,1/24/2014,0.047,0.05,0.047,0.053,88810,38.2M,N/A
ERHE,1/24/2014,0.047,0.05,0.047,0.053,88810,38.2M,N/A
EPM,1/24/2014,12.86,12.90,12.7255,12.93,98170,364.7M,64.50
XCO, I,1/24/2014,5.47,5.17,5.14,5.36,7115680,1.153B
FEEC,1/24/2014,0.1094,0.1097,0.107,0.11,542278,38.0M,N/A
FECOF,1/23/2014,N/A,0.0088,N/A,N/A,0,3.9M,N/A
FPP,1/24/2014,4.07,4.28,4.06,4.28,3102,34.5M,21.37
FTTN,1/24/2014,0.749,0.77,0.74,0.79,26945,9.1M,N/A
FST,1/24/2014,3.46,3.46,3.36,3.65,4363976,402.3M,N/A
FPET,1/16/2014,N/A,0.50,N/A,N/A,0,26.1M,N/A
FEGR,1/24/2014,0.0015,0.0015,0.0012,0.0015,1639639,48K,N/A
